"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.11611033889989,0.825,0.085,0,"0","Opalin"
0,4.1918457944832,0.847,0.116,0,"0","Sox10"
0,3.90021593040961,0.952,0.283,0,"0","Gjc3"
0,1.44551851883692,0.806,0.28,0,"0","Prox1"
0,3.50770931869328,0.662,0.162,0,"0","Vwc2l"
0,2.37814974936839,0.858,0.378,0,"0","Sema6a"
0,3.7221652951821,0.536,0.065,0,"0","Adamtsl1"
0,2.55380701572821,0.831,0.37,0,"0","Zfp536"
0,1.69967185882358,0.689,0.254,0,"0","Cobll1"
0,1.95073866271499,0.794,0.373,0,"0","Gfap"
0,1.76803230177814,0.637,0.222,0,"0","Tmem163"
0,1.71007158972736,0.946,0.581,0,"0","Clmn"
0,1.8474155113278,0.564,0.25,0,"0","Chrm2"
0,1.42854604090999,0.679,0.368,0,"0","Arhgef28"
0,1.78318175508254,0.944,0.649,0,"0","Gng12"
0,1.41847517134256,0.66,0.366,0,"0","Cdh20"
0,1.76453893456874,0.382,0.096,0,"0","Carmn"
0,2.13871887889101,0.253,0.063,0,"0","Fign"
0,1.26945607324797,0.96,0.776,0,"0","Dpy19l1"
0,1.41395408371561,0.78,0.602,0,"0","Igfbp5"
7.93242139026327e-254,1.85269355170007,0.239,0.077,1.96724050478529e-251,"0","Adamts2"
1.32695601497957e-222,0.745193061473346,0.278,0.103,3.29085091714932e-220,"0","Gpr17"
2.45287237146043e-198,0.892765111275922,0.548,0.359,6.08312348122186e-196,"0","Lyz2"
2.88567428264746e-172,1.46529562040527,0.189,0.065,7.15647222096569e-170,"0","Ano1"
4.23550206862523e-163,0.681104829054422,0.564,0.366,1.05040451301906e-160,"0","Parm1"
9.68424559126518e-140,1.06338586469939,0.202,0.08,2.40169290663376e-137,"0","Sema3d"
2.71594299304239e-113,1.24785304332659,0.281,0.152,6.73553862274512e-111,"0","Arhgap6"
1.13845191788841e-112,0.444073446546814,0.895,0.818,2.82336075636326e-110,"0","Bhlhe40"
3.70098210452122e-112,1.30899079137891,0.315,0.185,9.17843561921263e-110,"0","Syt17"
8.78477272305888e-95,0.476727638153808,0.565,0.41,2.1786236353186e-92,"0","Tanc1"
